,Unnamed: 0,frame,Z,Y,X,r_size,y_gap,gap_from_surface,mean,std,gaussian_mean,gaussian_std
0,0,0,51,50,131,18,20,10,112.8280438,4.058703718,114.8771704901315,4.495542606431592
1,1,1,57,50,132,18,20,10,115.6368971,4.22693207,115.09725150374265,4.804521470515008
2,2,2,57,50,132,18,20,10,115.5738031,4.253454873,114.76729625593089,4.644226422120151
3,3,3,59,50,115,18,20,10,115.5982886,4.245287974,114.71980692316232,4.662542709035682
4,4,4,59,50,115,18,20,10,115.262328,4.229113082,114.70752684496253,4.569435964460616
5,5,5,67,50,167,18,20,10,115.9708312,4.188090922,115.38528908457407,4.35081770356113
6,6,6,70,50,166,18,20,10,116.0210508,4.317845031,115.45916848389311,4.462012282063812
7,7,7,82,50,162,18,20,10,115.6733914,4.304096956,115.04962565365125,4.445074072096541
8,8,8,86,50,147,18,20,10,115.2468984,4.141536649,114.68705137455319,4.3395736081693626
9,9,9,86,50,147,18,20,10,115.466222,4.315987727,115.00046423724098,4.724599002308264
10,10,10,97,50,140,18,20,10,115.099629,4.119877055,114.68058262129595,4.478934855746554
11,11,11,48,50,180,18,20,10,118.2537326,4.519548927,117.98337344020428,4.828655681299284
12,12,12,48,50,180,18,20,10,118.3732685,4.589440175,118.0555912553536,4.496675130271613
13,13,13,48,50,180,18,20,10,117.7940398,4.541170726,117.55010081958069,4.616117418659069
14,14,14,48,50,180,18,20,10,117.5713189,4.48991363,117.37862368741239,4.565606599317714
15,15,15,48,50,180,18,20,10,117.4099061,4.386107455,117.39521496262938,4.692035377317025
16,16,16,48,50,180,18,20,10,117.2342827,4.49670847,117.19087844953356,4.696906733222662
17,17,17,48,50,180,18,20,10,116.6999096,4.401016428,116.71160046952613,4.50598656073599
18,18,18,48,50,180,18,20,10,116.2105154,4.428128333,116.27028563848805,4.547689992195267
19,19,19,48,50,180,18,20,10,116.7279252,4.344191249,116.93896733486238,4.678647789830451
20,20,20,48,50,180,18,20,10,116.2555816,4.370979183,116.51708845842228,4.867385920368361
21,21,21,48,50,180,18,20,10,115.8657339,4.251864861,116.21008226596986,4.633939011751814
22,22,22,48,50,180,18,20,10,115.9276985,4.315484426,116.2030336103912,4.587021266372126
23,23,23,48,50,180,18,20,10,116.1360003,4.332683578,116.49477835074669,4.957013651146227
24,24,24,50,50,179,18,20,10,116.1513826,4.266900316,116.35970947287447,4.54734744646868
25,25,25,51,50,179,18,20,10,115.866981,4.286823713,116.09159261235756,5.12102627064016
26,26,26,51,50,179,18,20,10,115.7884531,4.286138135,116.10717415852447,4.583233677801295
27,27,27,51,50,179,18,20,10,116.7383179,4.361911428,117.55156145666541,5.0026430052337805
28,28,28,55,50,174,18,20,10,129.0508984,5.187618973,124.17874177148381,5.066428535170619
29,29,29,55,50,174,18,20,10,131.1083117,5.276588211,125.06632198140944,5.1281640971650155
30,30,30,55,50,174,18,20,10,129.992358,5.200306308,124.40370651330244,5.144147727331224
31,31,31,55,50,173,18,20,10,130.3668611,5.272970842,124.58877063673866,5.120206762790735
32,32,32,55,50,173,18,20,10,130.176004,5.242473358,124.39729935430708,5.135877431488085
33,33,33,55,50,173,18,20,10,130.4963501,5.347947253,124.63165325848077,5.274039767681116
34,34,34,55,50,173,18,20,10,130.6153376,5.286900176,124.78096933394211,5.157237776815286
35,35,35,55,50,173,18,20,10,130.4660319,5.08769077,124.51295699055424,5.091692971095813
36,36,36,55,50,173,18,20,10,130.6639302,5.174267296,124.7594796093801,5.0481480843190125
37,37,37,44,50,185,18,20,10,131.6508287,5.378991094,125.99621039154913,5.387113795585122
38,38,38,55,50,173,18,20,10,131.2991299,5.291061698,125.20263265169842,5.150315392026275
39,39,39,55,50,173,18,20,10,131.1872237,5.224843933,125.14187473526705,5.274200558776107
40,40,40,55,50,173,18,20,10,131.4022582,5.304999367,125.22036608917904,5.218130255349351
41,41,41,55,50,173,18,20,10,131.8604239,5.31827109,125.61256107234253,5.280481510605761
42,42,42,55,50,173,18,20,10,131.9431669,5.368696397,125.51616972374848,5.415888244728868
43,43,43,52,50,173,18,20,10,132.7383386,5.336787839,126.01261131664717,5.139040402073631
