frame,time (sec)
0,120
1,240
2,360
3,480
4,600
5,720
6,840
7,960
8,1080
9,1200
10,1320
11,1440
12,1560
13,1680
14,1800
15,1920
16,2040
17,2160
18,2280
19,2400
20,2520
21,2640
22,2760
23,2880
24,3000
25,3120
26,3240
27,3360
28,3480
29,3600
30,3720
31,3840
32,3960
33,4080
34,4200
35,4320
36,4440
37,4560
38,4680
39,4800
40,4920
41,5040
42,5160
43,5280
44,5400
45,5520
46,5640
47,5760
48,5880
49,6000
50,6120
51,6240
52,6360
53,6480
54,6600
55,6720
56,6840
57,6960
58,7080
59,7200
60,7320
61,7440
62,7560
63,7680
64,7800
65,7920
66,8040
67,8160
68,8280
69,8400
70,8520
71,8640
72,8760
73,8880
74,9000
75,9120
76,9240
77,9360
78,9480
79,9600
80,9720
81,9840
82,9960
83,10080
84,10200
85,10320
86,10440
87,10560
88,10680
89,10800
90,10920
91,11040
92,11160
93,11280
94,11400
95,11520
96,11640
97,11760
98,11880
99,12000
100,12120
101,12240
102,12360
103,12480
104,12600
105,12720
106,12840
107,12960
108,13080
109,13200
110,13320
111,13440
112,13560
113,13680
114,13800
115,13920
116,14040
117,14160
118,14280
119,14400
120,14520
121,14640
122,14760
123,14880
124,15000
125,15120
126,15240
127,15360
128,15480
129,15600
130,15720
131,15840
132,15960
133,16080
134,16200
135,16320
136,16440
137,16560
138,16680
139,16800
140,16920
141,17040
142,17160
143,17280
144,17400
145,17520
146,17640
147,17760
148,17880
149,18000
150,18120
151,18240
152,18360
153,18480
154,18600
155,18720
156,18840
157,18960
158,19080
159,19200
160,19320
161,19440
162,19560
163,19680
164,19800
165,19920
166,20040
167,20160
168,20280
169,20400
170,20520
171,20640
172,20760
173,20880
174,21000
175,21120
176,21240
177,21360
178,21480
179,21600
180,21720
181,21840
182,21960
183,22080
184,22200
185,22320
186,22440
187,22560
188,22680
189,22800
190,22920
191,23040
192,23160
193,23280
194,23400
195,23520
196,23640
197,23760
198,23880
199,24000
200,24120
