,frame,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,56,50,193,18,20,1.0845097303390503,0.0514529719948768,10,1.0837984950605533,0.04976905366243607
1,1,56,50,193,18,20,1.0810599327087402,0.0498689264059066,10,1.0799993645476786,0.05507797652329863
2,2,56,50,193,18,20,1.080567717552185,0.0498635359108448,10,1.0772120521371908,0.053654004187585515
3,3,56,50,193,18,20,1.075278878211975,0.0474823005497455,10,1.0695993523667042,0.04427298265509103
4,4,56,50,193,18,20,1.0707316398620603,0.0484441928565502,10,1.0721682188303177,0.04796447194488136
5,5,50,50,195,18,20,1.0727730989456177,0.0481923334300518,10,1.070787066572218,0.05234267337449266
6,6,50,50,195,18,20,1.0709596872329712,0.048276163637638,10,1.0674919779798284,0.04988143762852276
7,7,50,50,195,18,20,1.068368673324585,0.0476167537271976,10,1.062686258291873,0.049375829938974464
8,8,50,50,195,18,20,1.0629794597625732,0.046131744980812,10,1.055843462458415,0.04730941107883327
9,9,46,50,196,18,20,1.0639082193374634,0.045472927391529,10,1.0610200005310746,0.04381888748080275
10,10,44,50,196,18,20,1.0633994340896606,0.0459179021418094,10,1.0590390953809223,0.039913324013258686
11,11,43,50,196,18,20,1.0606034994125366,0.0454714521765708,10,1.0583418352768759,0.040165343316496606
12,12,43,50,196,18,20,1.0617502927780151,0.046000886708498,10,1.0589190778466566,0.040350755873905644
13,13,43,50,196,18,20,1.061044692993164,0.0454570353031158,10,1.058771236813058,0.04099062786728495
14,14,43,50,196,18,20,1.0558831691741943,0.0445241294801235,10,1.048747197236916,0.04554177894303765
15,15,43,50,196,18,20,1.0596442222595217,0.0452787317335605,10,1.0526738157616684,0.04820655673102
16,16,41,50,197,18,20,1.062273621559143,0.0455000214278698,10,1.0569016796638295,0.047967146901375504
17,17,41,50,197,18,20,1.0607774257659912,0.0456075333058834,10,1.057004315573233,0.04901242787933541
18,18,41,50,197,18,20,1.05770742893219,0.0453019365668296,10,1.054774953678498,0.048803946157048264
19,19,41,50,197,18,20,1.0570298433303833,0.0449487194418907,10,1.05311875874357,0.0486034611629683
20,20,41,50,197,18,20,1.0548381805419922,0.044679369777441,10,1.0540914774644596,0.045794749125898974
21,21,41,50,197,18,20,1.0590792894363403,0.0449642017483711,10,1.0581683781842182,0.04691434678698677
22,22,38,50,225,18,20,1.0595091581344604,0.0475726909935474,10,1.0590568182436302,0.04893174762962561
23,23,38,50,225,18,20,1.0576817989349363,0.046971321105957,10,1.059904710165075,0.05016622325019652
24,24,38,50,225,18,20,1.054282546043396,0.0463010780513286,10,1.0522977613977327,0.04087063736194668
25,25,38,50,225,18,20,1.0578852891921997,0.0465744882822036,10,1.056526770251128,0.04051316540801767
26,26,38,50,225,18,20,1.0569641590118408,0.0457422360777854,10,1.0503686472721425,0.04754477497095793
27,27,38,50,225,18,20,1.0534420013427734,0.0475094728171825,10,1.0500677014236788,0.05151199573258495
28,28,37,50,226,18,20,1.0494776964187622,0.0465041622519493,10,1.0469605641171467,0.0497125971745198
29,29,37,50,226,18,20,1.0477715730667114,0.0462423041462898,10,1.0479875374360974,0.05098202746639949
30,30,37,50,226,18,20,1.048550724983215,0.0456364974379539,10,1.0481698492492877,0.04571342027289962
31,31,37,50,226,18,20,1.0464593172073364,0.0465950034558773,10,1.0432467706820154,0.04543322220925476
32,32,37,50,226,18,20,1.0435514450073242,0.0453439131379127,10,1.0382048133789645,0.04634529222042553
33,33,32,50,225,18,20,1.0418647527694702,0.0463931784033775,10,1.0400266331249475,0.05091494903060252
34,34,32,50,225,18,20,1.0369467735290527,0.0458679161965847,10,1.0372043583363177,0.04691523615517609
35,35,32,50,225,18,20,1.0351911783218384,0.0461726561188697,10,1.0360513952301105,0.04535554485159574
36,36,32,50,225,18,20,1.0363357067108154,0.0457469336688518,10,1.0295085852037589,0.04392352523983751
37,37,32,50,225,18,20,1.0342212915420532,0.0458511747419834,10,1.0327278117661527,0.05044658289409492
38,38,30,50,269,18,20,1.0307989120483398,0.0445916838943958,10,1.02896975940462,0.04949263102782139
39,39,30,50,269,18,20,1.0261046886444092,0.044462502002716,10,1.0281841791719208,0.04595082582635723
40,40,30,50,275,18,20,1.0236892700195312,0.0442874319851398,10,1.017786789971208,0.040515938135138825
41,41,30,50,298,18,20,1.024594783782959,0.0439556650817394,10,1.0216612238190939,0.04194448843215651
42,42,30,50,298,18,20,1.0195437669754028,0.0428426228463649,10,1.0181367541612385,0.04820752982734042
43,43,30,50,298,18,20,1.0199744701385498,0.0428064912557601,10,1.0208042253199558,0.046670961881778675
44,44,30,50,298,18,20,1.0143671035766602,0.0436494685709476,10,1.0116615051304414,0.04127327856281264
45,45,30,50,298,18,20,1.012072205543518,0.0445045717060565,10,1.0085417383723352,0.048472719464228646
46,46,30,50,298,18,20,1.0077228546142578,0.0430770739912986,10,1.004551797852924,0.04191804297997948
47,47,30,50,298,18,20,1.0042186975479126,0.0431749783456325,10,1.0034957340856017,0.0419760851060129
48,48,30,50,279,18,20,1.0044832229614258,0.0445409715175628,10,1.001793066550558,0.04555164367229828
49,49,30,50,279,18,20,1.0001952648162842,0.0432311706244945,10,0.9992321308857443,0.042190177775431964
