frame,time (sec)
0,0
1,90
2,180
3,270
4,360
5,450
6,540
7,630
8,720
9,810
10,900
11,990
12,1080
13,1170
14,1260
15,1350
16,1440
17,1530
18,1620
19,1710
20,1800
21,1890
22,1980
23,2070
24,2160
25,2250
26,2340
27,2430
28,2520
29,2610
30,2700
31,2790
32,2880
33,2970
34,3060
35,3150
36,3240
37,3330
38,3420
39,3510
40,3600
41,3690
42,3780
43,3870
44,3960
45,4050
46,4140
47,4230
48,4320
49,4410
50,4500
51,4590
52,4680
53,4770
54,4860
55,4950
56,5040
57,5130
58,5220
59,5310
60,5400
61,5490
62,5580
63,5670
64,5760
65,5850
66,5940
67,6030
68,6120
69,6210
70,6300
71,6390
72,6480
73,6570
74,6660
75,6750
76,6840
77,6930
78,7020
79,7110
80,7200
81,7290
82,7380
83,7470
84,7560
85,7650
86,7740
87,7830
88,7920
89,8010
90,8100
91,8190
92,8280
93,8370
94,8460
95,8550
96,8640
97,8730
98,8820
99,8910
100,9000
101,9090
