,Unnamed: 0,frame,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,0,55,50,58,18,20,1.0053502321243286,0.0295935720205307,10,1.007448991249859,0.03019586957632554
1,1,1,55,50,58,18,20,1.0043550729751587,0.0292083360254764,10,1.0063988715942496,0.03038602433869079
2,2,2,55,50,58,18,20,1.0059031248092651,0.0291002336889505,10,1.0078328728117116,0.02976626804458756
3,3,3,50,50,58,18,20,1.0062068700790403,0.0280740465968847,10,1.0079131402891601,0.029248048863764177
4,4,4,53,50,59,18,20,1.0067260265350342,0.0291627533733844,10,1.0090608807008834,0.03167655700382322
5,5,5,49,50,61,18,20,1.0060672760009766,0.0288688652217388,10,1.0089761404140893,0.03065460346410412
6,6,6,49,50,61,18,20,1.0057778358459473,0.0297845620661973,10,1.0066536924754717,0.030689637309308317
7,7,7,49,50,61,18,20,1.0053681135177612,0.0292711891233921,10,1.0087972856027245,0.030537342201924195
8,8,8,49,50,61,18,20,1.0066540241241455,0.0290810354053974,10,1.0103880627641526,0.030660629640053796
9,9,9,49,50,61,18,20,1.007070779800415,0.0293500628322362,10,1.0094235471673692,0.027404629503020708
10,10,10,49,50,61,18,20,1.0060359239578247,0.0302494298666715,10,1.0076368146335013,0.02608511564374921
11,11,11,49,50,61,18,20,1.0058008432388306,0.0291407331824302,10,1.0087118670156987,0.03062188058418231
12,12,12,48,50,61,18,20,1.006661057472229,0.0295832064002752,10,1.0085635467965397,0.024816258039432968
13,13,13,48,50,61,18,20,1.0058677196502686,0.0294587053358554,10,1.0093469569478009,0.02498292085104038
14,14,14,48,50,61,18,20,1.0064955949783323,0.0298739410936832,10,1.0097173553488512,0.027337930186918106
15,15,15,48,50,61,18,20,1.006166696548462,0.0302886348217725,10,1.0095777154687469,0.03192380694375771
16,16,16,48,50,61,18,20,1.0062501430511477,0.0294218398630619,10,1.0043457085230159,0.026298724231759142
17,17,17,48,50,61,18,20,1.0071626901626587,0.0291522294282913,10,1.009999798089184,0.024199620693160194
18,18,18,48,50,61,18,20,1.0051047801971436,0.0292978715151548,10,0.9986372242645793,0.02367420813619332
19,19,19,48,50,61,18,20,1.0067389011383057,0.0288710799068212,10,1.0007097539904484,0.02418168987302332
20,20,20,48,50,61,18,20,1.0066368579864502,0.0298239663243293,10,1.001514663835943,0.0314328934725197
21,21,21,48,50,61,18,20,1.0066403150558472,0.0299185812473297,10,1.0011092355895461,0.03181054475934903
22,22,22,45,50,68,18,20,1.0064252614974976,0.030280465260148,10,1.0002549345020673,0.032339697726291965
23,23,23,45,50,68,18,20,1.0070406198501587,0.0294326599687337,10,1.0014022064565924,0.027224699564302374
24,24,24,45,50,68,18,20,1.005842208862305,0.0291643291711807,10,1.0012226004144544,0.03151477514923718
25,25,25,45,50,68,18,20,1.0060086250305176,0.0291535276919603,10,0.9995903928997641,0.02934870125713435
26,26,26,45,50,68,18,20,1.0054394006729126,0.0287532694637775,10,1.0010944744849952,0.030715035507980583
27,27,27,45,50,68,18,20,1.007561206817627,0.0300992485135793,10,1.0026035273373801,0.031817941166063894
28,28,28,48,50,92,18,20,1.0061982870101929,0.0290991086512804,10,1.002179826824629,0.030965132033016315
29,29,29,47,50,92,18,20,1.0061025619506836,0.0289416033774614,10,1.0019353987323236,0.030659168213363275
30,30,30,46,50,91,18,20,1.0058932304382324,0.0294395685195922,10,1.0011626891118925,0.03130006172305223
31,31,31,46,50,91,18,20,1.0058681964874268,0.0302603580057621,10,1.0013966221433128,0.031889916881779105
32,32,32,48,50,92,18,20,1.0061421394348145,0.0292137805372476,10,1.000569862018922,0.03039973555355563
33,33,33,50,50,93,18,20,1.006468415260315,0.0300198774784803,10,1.001236122783345,0.03155363564893178
34,34,34,49,50,93,18,20,1.006885647773743,0.0297753009945154,10,1.0007461868755991,0.030489322809892465
35,35,35,48,50,106,18,20,1.0058038234710691,0.0297820139676332,10,1.0009229690712995,0.030882630143390998
36,36,36,46,50,172,18,20,1.0047738552093506,0.0295179951936006,10,0.999501117169659,0.03088689690679786
37,37,37,46,50,172,18,20,1.0043355226516724,0.0294177718460559,10,0.9998596488081055,0.03105120083152538
38,38,38,47,50,168,18,20,1.004646062850952,0.0291096735745668,10,0.9996546805077945,0.03098091434389069
39,39,39,49,50,169,18,20,1.0052944421768188,0.0292492676526308,10,1.0012959124999365,0.03054052161183654
40,40,40,49,50,169,18,20,1.003942370414734,0.0297121684998273,10,0.9986244033895846,0.03178401790587867
41,41,41,49,50,169,18,20,1.003694772720337,0.0295531097799539,10,0.9981177867451244,0.031616546196915195
42,42,42,49,50,169,18,20,1.0032694339752195,0.029764337465167,10,0.998619873656034,0.030267037835413926
43,43,43,49,50,169,18,20,1.004807949066162,0.0293164774775505,10,1.000048433644958,0.03127385593463683
44,44,44,49,50,169,18,20,1.0020499229431152,0.0289101395756006,10,0.9983919766650322,0.030266735477657146
45,45,45,50,50,108,18,20,1.0069525241851809,0.0299847871065139,10,1.0029942768244011,0.030899089019174743
46,46,46,50,50,108,18,20,1.0063098669052124,0.0294101629406213,10,1.0022923913902428,0.030638723745698874
47,47,47,52,50,109,18,20,1.005280375480652,0.029101088643074,10,1.0016947136775773,0.030715751848661852
48,48,48,52,50,109,18,20,1.0043776035308838,0.0291153527796268,10,1.000268159011234,0.030464281625262622
49,49,49,52,50,108,18,20,1.0050551891326904,0.0298987291753292,10,1.0011074569875027,0.03181473275322747
50,50,50,52,50,108,18,20,1.0040854215621948,0.0281328447163105,10,1.0011887047934434,0.02909073475894866
51,51,51,52,50,108,18,20,1.005214810371399,0.0293388683348894,10,1.0015064422902566,0.030528881009088817
52,52,52,52,50,108,18,20,1.0049983263015747,0.0289434809237718,10,1.0021472906151547,0.029841666176581117
53,53,53,52,50,108,18,20,1.0064018964767456,0.02928320877254,10,1.0032658074524083,0.030476545005328867
54,54,54,52,50,108,18,20,1.0042345523834229,0.0292725972831249,10,1.0008250740027158,0.030560828534656033
55,55,55,52,50,108,18,20,1.005940556526184,0.0289965849369764,10,1.00186638991816,0.030156798574181704
56,56,56,52,50,108,18,20,1.0052180290222168,0.0295409280806779,10,1.0019698236905663,0.03138107555750825
