,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface
0,34,0,125,15,20,1.0460517984220763,0.03362507572149654,0
1,32,0,114,15,20,1.0518640827613654,0.037416550755527446,0
2,34,0,116,15,20,1.0437838405726274,0.034983928045814204,0
3,38,0,131,15,20,1.0276388838568846,0.023616538295582506,0
4,38,0,119,15,20,1.0260108600443263,0.024586742210365747,0
5,38,0,105,15,20,1.0226398263840486,0.024395483654505407,0
6,40,0,83,15,20,1.0208430070161307,0.01780881712868655,0
7,42,0,113,15,20,1.020611991949988,0.018460641382829553,0
8,44,0,133,15,20,1.0250470719830818,0.022892110198642762,0
9,43,0,163,15,20,1.0289570768408152,0.024056618398109738,0
10,44,0,189,15,20,1.0310371357976376,0.022112772355678295,0
11,45,0,220,15,20,1.0192643221950561,0.017549986604387547,0
12,46,0,243,15,20,1.0209661790440678,0.02034479471572145,0
13,46,0,274,15,20,1.0160114933944981,0.023056323642946616,0
14,46,0,300,15,20,1.018281337451976,0.024628554091535724,0
15,47,0,324,15,20,1.017426686319641,0.01887577759716645,0
16,46,0,345,15,20,1.0120809343849044,0.018410420314484914,0
17,45,0,369,15,20,1.0092787181374738,0.019387388847190573,0
18,44,0,313,15,20,1.0240131338210323,0.02177207964581099,0
19,46,0,269,15,20,1.0101681088215102,0.016544924516191353,0
20,47,0,223,15,20,1.006989430816959,0.01940454695079685,0
21,47,0,177,15,20,1.0146772945729106,0.02060291034119189,0
22,46,0,141,15,20,1.0100291310478702,0.01734071190322151,0
23,48,0,117,15,20,1.005658423406762,0.026261702696511166,0
24,45,0,99,15,20,1.0052156092591544,0.014434913231448904,0
25,46,0,101,15,20,1.0018367382226963,0.015786799931589605,0
26,46,0,101,15,20,1.0041142142882242,0.016019403890002032,0
27,46,0,100,15,20,1.002122720485896,0.016857296723414815,0
28,47,0,101,15,20,1.002467441858148,0.019147715365730875,0
29,47,0,100,15,20,0.9997487039480536,0.015112854691086511,0
30,47,0,100,15,20,1.000130687393183,0.019380611255163233,0
31,46,0,99,15,20,0.9985965087019064,0.01417499973374339,0
32,46,0,98,15,20,1.0032053949853852,0.01566119103424192,0
33,46,0,98,15,20,1.0031321301100509,0.016383277222915243,0
34,46,0,98,15,20,0.9995113362942205,0.01748656044221062,0
35,47,0,98,15,20,0.9976336711710122,0.01442223743784646,0
36,47,0,98,15,20,1.000189169240934,0.015486193462950763,0
37,47,0,99,15,20,0.9999318334537729,0.02534541933711874,0
38,47,0,99,15,20,0.9974715400355478,0.023139445715558062,0
