,Unnamed: 0,frame,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,0,36,0,123,15,20,118.2112476,3.080630876,0,118.11957936818597,3.2651663087116627
1,1,1,36,0,123,15,20,117.8945815,2.329846152,0,117.78294182907156,2.799362021005151
2,2,2,39,0,129,15,20,118.6863082,2.369366144,0,116.90566069446899,2.590511000244294
3,3,3,40,0,131,15,20,118.3472009,2.418907747,0,116.86409608349146,2.661608362671137
4,4,4,38,0,119,15,20,118.6587408,2.843470751,0,117.31918195378991,3.063450241718396
5,5,5,38,0,105,15,20,118.1144602,2.817667872,0,117.15075360717884,3.0269374480059748
6,6,6,40,0,83,15,20,117.8402938,2.055748268,0,116.97708954996935,2.287424580945755
7,7,7,42,0,113,15,20,118.0643952,2.135526995,0,116.65092323120399,2.409083439055214
8,8,8,44,0,133,15,20,118.6464453,2.649700267,0,116.89028983691146,2.8431741348155586
9,9,9,43,0,163,15,20,119.1719977,2.786195203,0,116.95526891019101,2.9484815060773504
10,10,10,44,0,189,15,20,119.179923,2.556065553,0,117.42490778751541,2.8959767880536864
11,11,11,45,0,220,15,20,117.6207075,2.025227212,0,116.57145437083099,2.2807276473537743
12,12,12,46,0,243,15,20,117.6315882,2.344044851,0,117.039822052031,2.6077292558305123
13,13,13,46,0,274,15,20,116.9462148,2.653857554,0,116.87168634357248,2.890403612976699
14,14,14,46,0,300,15,20,117.0222252,2.8303457,0,117.23794101439357,3.012898319007628
15,15,15,47,0,324,15,20,116.8315897,2.167514507,0,117.21353998019383,2.522291950775551
16,16,16,46,0,345,15,20,116.1362164,2.112594442,0,116.68726884977558,2.341194672500515
17,17,17,45,0,369,15,20,115.7071236,2.222635787,0,116.59478050577964,2.5180102636641384
18,18,18,44,0,313,15,20,117.3497649,2.495034824,0,118.1285026793658,2.8561862304626757
19,19,19,46,0,269,15,20,115.755204,1.895883562,0,116.68753881612312,2.130761797401274
20,20,20,47,0,223,15,20,115.417876,2.224086495,0,116.14274450426265,2.3998293775185693
21,21,21,47,0,177,15,20,116.219453,2.35982315,0,116.99717569514925,2.5863574878816817
22,22,22,46,0,141,15,20,115.5500799,1.983824608,0,116.62833606536311,2.2947039060030834
23,23,23,48,0,117,15,20,114.9352983,3.001413366,0,116.29752605290653,3.233994636771715
24,24,24,45,0,99,15,20,114.8210344,1.648832006,0,116.50603176693637,1.9992911250770116
25,25,25,46,0,101,15,20,114.374561,1.802297962,0,116.1314166901922,2.162743591399292
26,26,26,46,0,101,15,20,114.5957758,1.828234269,0,116.36889412773813,2.17728627168072
27,27,27,46,0,100,15,20,114.3095733,1.922868683,0,116.21641675766489,2.273482356985179
28,28,28,47,0,101,15,20,114.2585324,2.182404899,0,116.34581646339254,2.5198151238329847
29,29,29,47,0,100,15,20,113.8893229,1.721625425,0,116.06368372972955,2.105001296534797
30,30,30,47,0,100,15,20,113.9081444,2.207320997,0,116.05587098194779,2.523155472289036
31,31,31,46,0,99,15,20,113.6842309,1.613738811,0,116.08522380817041,1.9875292760077916
32,32,32,46,0,98,15,20,114.1663189,1.782267658,0,116.58785529363948,2.1646842581789754
33,33,33,46,0,98,15,20,114.1763536,1.864742238,0,116.49847187753637,2.1350206967059675
34,34,34,46,0,98,15,20,113.691416,1.989043791,0,116.18789274733636,2.307272980338641
35,35,35,47,0,98,15,20,113.3983856,1.639337655,0,116.09618582257852,2.0106932844497614
36,36,36,47,0,98,15,20,113.6411133,1.759535417,0,116.4554339586234,2.005025262076428
37,37,37,47,0,99,15,20,113.5693278,2.878658466,0,116.23042443751592,3.161742328911479
38,38,38,47,0,99,15,20,113.2079826,2.626210235,0,116.05150853460817,2.8679099258862935
