frame,time (sec),min
0,180,3
1,210,3.5
2,240,4
3,270,4.5
4,300,5
5,330,5.5
6,360,6
7,390,6.5
8,420,7
9,450,7.5
10,480,8
11,510,8.5
12,540,9
13,570,9.5
14,600,10
15,630,10.5
16,660,11
17,690,11.5
18,720,12
19,750,12.5
20,780,13
21,810,13.5
22,840,14
23,870,14.5
24,930,15.5
25,990,16.5
26,1050,17.5
27,1110,18.5
28,1170,19.5
29,1230,20.5
30,1290,21.5
31,1350,22.5
32,1410,23.5
33,1470,24.5
34,1530,25.5
35,1590,26.5
36,1650,27.5
37,1710,28.5
38,1770,29.5
39,1830,30.5
40,1890,31.5
41,1950,32.5
42,2010,33.5
43,2070,34.5
44,2130,35.5
45,2190,36.5
46,2250,37.5
47,2310,38.5
48,2370,39.5
49,2430,40.5
50,2490,41.5
51,2550,42.5
52,2610,43.5
53,2670,44.5
54,2730,45.5
55,2790,46.5
56,2850,47.5
57,2910,48.5
58,2970,49.5
59,3030,50.5
60,3090,51.5
61,3150,52.5
62,3210,53.5
63,3270,54.5
64,3330,55.5
65,3390,56.5
66,3450,57.5
67,3510,58.5
68,3570,59.5
69,3630,60.5
70,3690,61.5
71,3750,62.5
72,3810,63.5
