,Unnamed: 0,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,53,0,112,20,20,0.0793807059526443,0.0421091951429843,10,0.07038502629156775,0.04706098248339957
1,1,53,50,99,20,20,0.0940206944942474,0.0349588729441165,10,0.09193356038217078,0.035340655487846866
2,2,55,50,114,20,20,0.1066826581954956,0.0379137955605983,10,0.10373540050432464,0.03755133511977328
3,3,55,50,114,20,20,0.1189329400658607,0.0244210753589868,10,0.11782564311818587,0.025763123127016004
4,4,56,50,114,20,20,0.1218196302652359,0.0349846445024013,10,0.12047790669844215,0.03572353572634988
5,5,56,50,114,20,20,0.1260941326618194,0.0239322874695062,10,0.12452140998968354,0.026004511010006427
6,6,59,50,115,20,20,0.1286593675613403,0.0295368023216724,10,0.1259913402066276,0.032592385249470286
7,7,60,50,115,20,20,0.1274341791868209,0.0307645425200462,10,0.1258411288819664,0.0332056031224559
8,8,60,50,115,20,20,0.1277567893266677,0.0333951339125633,10,0.12399866898991654,0.03437947735457177
9,9,60,50,115,20,20,0.1360292136669159,0.0323198139667511,10,0.1316081363113722,0.032759260939901044
10,10,62,50,118,20,20,0.1308200359344482,0.0301110371947288,10,0.12742744002623332,0.0326210787276391
11,11,68,50,119,20,20,0.1385115683078766,0.0419671200215816,10,0.1359432737546184,0.04367977499581129
12,12,64,50,176,20,20,0.1416824758052826,0.0411520190536975,10,0.1383894850910988,0.04426686236753995
13,13,67,50,178,20,20,0.1354425698518753,0.0481952056288719,10,0.13183211385713,0.04961681490866796
14,14,68,50,196,20,20,0.1458669304847717,0.0467568673193454,10,0.14004679329410066,0.047807709812084195
15,15,76,50,120,20,20,0.1463521271944046,0.0550634041428566,10,0.14105234429239213,0.056215607205166405
16,16,74,50,152,20,20,0.1388235390186309,0.046200543642044,10,0.13411269631994713,0.048125407541637216
17,17,75,50,166,20,20,0.1470087319612503,0.0452595427632331,10,0.1419876342382735,0.04820651658757594
18,18,80,50,169,20,20,0.1429920047521591,0.0473682768642902,10,0.13785082632458717,0.049512061870589825
19,19,88,50,169,20,20,0.1437260061502456,0.0439680851995945,10,0.13805054086124793,0.045543168338039744
20,20,112,50,149,20,20,0.1523592919111251,0.0441855899989604,10,0.1466097553258044,0.04907562619695558
21,21,134,50,128,20,20,0.1581095308065414,0.0502255484461784,10,0.15147654149897594,0.053940492148878555
22,22,133,50,126,20,20,0.1665680855512619,0.047009989619255,10,0.15855447438957931,0.05047457716233471
23,23,154,50,127,20,20,0.1681257933378219,0.0510986447334289,10,0.15908237986680318,0.05499052586160666
24,24,183,50,132,20,20,0.1751193404197693,0.0522340089082717,10,0.16675003624747298,0.057410180762034475
25,25,184,50,428,20,20,0.1702931523323059,0.0525832511484622,10,0.16119341551641614,0.05674473240476239
26,26,188,50,429,20,20,0.1706500649452209,0.0534041561186313,10,0.16116869320758523,0.057149721470284125
27,27,181,50,429,20,20,0.1721341013908386,0.0499690063297748,10,0.16440515732100403,0.056667299968762755
28,28,238,50,142,20,20,0.1801154017448425,0.0555481575429439,10,0.1718640003094955,0.063130749842012
29,29,148,50,93,20,20,0.1977820992469787,0.0544338896870613,10,0.18873643477211252,0.05937562975494959
30,30,66,50,184,20,20,0.2120752930641174,0.0538713671267032,10,0.199599948596397,0.05704676187209755
31,31,66,50,185,20,20,0.219698891043663,0.0577680319547653,10,0.2076371785786595,0.0625594575682585
32,32,66,50,185,20,20,0.2179273962974548,0.0586326010525226,10,0.2088930824474997,0.06568780485292253
33,33,66,50,185,20,20,0.2164470255374908,0.0624998547136783,10,0.20396132082432003,0.06703007090020487
34,34,70,50,287,20,20,0.2144266366958618,0.0565840043127536,10,0.204444807715652,0.060832813681645156
35,35,73,50,292,20,20,0.210739254951477,0.0572376474738121,10,0.2018463080672521,0.06602084763731693
36,36,64,50,282,20,20,0.2210620939731598,0.0602428503334522,10,0.21103186670349275,0.06683911664036768
