frame,time (min),time (sec)
0,7,420
1,8,480
2,9,540
3,10,600
4,11,660
5,12,720
6,13,780
7,14,840
8,15,900
9,16,960
10,17,1020
11,18,1080
12,19,1140
13,20,1200
14,21,1260
15,22,1320
16,23,1380
17,24,1440
18,25,1500
19,26,1560
20,27,1620
21,28,1680
22,29,1740
23,30,1800
24,31,1860
25,32,1920
26,33,1980
27,34,2040
28,35,2100
29,36,2160
30,37,2220
31,38,2280
32,39,2340
33,40,2400
34,41,2460
35,42,2520
36,43,2580
37,44,2640
38,45,2700
39,46,2760
40,47,2820
41,48,2880
42,49,2940
43,50,3000
44,51,3060
45,52,3120
46,53,3180
47,54,3240
48,55,3300
49,56,3360
50,57,3420
51,58,3480
52,59,3540
53,60,3600
54,61,3660
55,62,3720
56,63,3780
57,64,3840
58,65,3900
59,66,3960
60,67,4020
61,68,4080
62,69,4140
63,70,4200
64,71,4260
65,74,4440
66,77,4620
67,77.5,4650
68,78,4680
69,78.5,4710
70,79,4740
71,80,4800
72,81,4860
73,84,5040
74,87,5220
75,89,5340
76,91,5460
77,92,5520
78,93,5580
79,94,5640
80,95,5700
81,96,5760
82,97,5820
83,98,5880
84,99,5940
85,100,6000
86,101,6060
87,102,6120
88,103,6180
89,104,6240
90,105,6300
91,106,6360
92,107,6420
93,108,6480
94,109,6540
95,110,6600
96,111,6660
97,112,6720
98,113,6780
99,114,6840
100,115,6900
101,116,6960
102,117,7020
103,118,7080
104,119,7140
105,120,7200
