,Unnamed: 0,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,39,0,82,15,20,1.011781454,0.025246825,10,1.01078385,0.024857962
1,1,41,0,83,15,20,1.01342082,0.016229324,10,1.012319028,0.016483564
2,2,41,0,83,15,20,1.012244821,0.021593265,10,1.011657629,0.022045844
3,3,44,0,83,15,20,1.01086998,0.022323705,10,1.009034751,0.022155452
4,4,45,0,87,15,20,1.008530736,0.027418459,10,1.006941885,0.027932549
5,5,46,0,87,15,20,1.014448762,0.031182513,10,1.011976024,0.028965845
6,6,49,0,86,15,20,1.006160021,0.023992667,10,1.005054383,0.024230802
7,7,49,0,86,15,20,1.006859303,0.029164393,10,1.005240927,0.029123551
8,8,50,0,86,15,20,1.006097436,0.033969373,10,1.004510962,0.033814577
9,9,51,0,86,15,20,1.008465052,0.02317819,10,1.007848337,0.023662238
10,10,54,0,87,15,20,1.007113814,0.018318048,10,1.006173544,0.017521893
11,11,55,0,88,15,20,1.004640341,0.020911874,10,1.003723824,0.021118297
12,12,50,0,105,15,20,1.004999638,0.022800414,10,1.004004448,0.022832523
13,13,50,0,105,15,20,1.00839448,0.026559923,10,1.006671276,0.025807834
14,14,52,0,106,15,20,1.00829041,0.018245306,10,1.007970571,0.018005781
15,15,54,0,106,15,20,1.006384134,0.02569929,10,1.005102363,0.027052677
16,16,55,0,106,15,20,1.005854607,0.021820305,10,1.004389199,0.022201595
17,17,55,0,106,15,20,1.004551053,0.017691657,10,1.004670406,0.018524736
18,18,57,0,107,15,20,1.008855581,0.032992397,10,1.006225106,0.031836261
19,19,57,0,107,15,20,1.006207705,0.023457574,10,1.005196829,0.023592566
20,20,57,0,107,15,20,1.005643845,0.022033148,10,1.004881682,0.02238348
21,21,58,0,107,15,20,1.007906199,0.021502843,10,1.007059004,0.022214856
22,22,58,0,126,15,20,1.012589574,0.02427583,10,1.01041158,0.023836592
23,23,61,0,131,15,20,1.012137175,0.02047853,10,1.012494819,0.020423259
24,24,62,0,132,15,20,1.014052868,0.021120911,10,1.013586743,0.020998755
25,25,62,0,140,15,20,1.0124259,0.019282516,10,1.011377332,0.018853292
26,26,62,0,156,15,20,1.009056449,0.027121771,10,1.007033419,0.026459948
27,27,63,0,158,15,20,1.011217237,0.025779013,10,1.0094622,0.0258949
28,28,61,0,163,15,20,1.009307981,0.024697144,10,1.008542473,0.025465662
29,29,62,0,165,15,20,1.005790472,0.018270234,10,1.005423523,0.018088298
30,30,63,0,168,15,20,1.008759618,0.020077351,10,1.008142108,0.02059196
31,31,63,0,168,15,20,1.008315682,0.016563101,10,1.007781111,0.016846275
32,32,63,0,168,15,20,1.009022593,0.017800007,10,1.008459698,0.019077316
33,33,64,0,168,15,20,1.008351445,0.022841021,10,1.007149364,0.02268407
34,34,64,0,168,15,20,1.009493947,0.015517602,10,1.009157291,0.01549611
35,35,64,0,168,15,20,1.009659648,0.015485465,10,1.009261218,0.015609927
36,36,66,0,168,15,20,1.008065581,0.020388825,10,1.006910695,0.020461054
37,37,67,0,168,15,20,1.008949757,0.015104979,10,1.008275971,0.01577987
38,38,69,0,168,15,20,1.008292675,0.015411951,10,1.007561463,0.015740641
39,39,71,0,168,15,20,1.010331511,0.021300409,10,1.009453465,0.02105559
40,40,71,0,168,15,20,1.009921193,0.02483339,10,1.009032721,0.025929152
41,41,70,0,168,15,20,1.006996751,0.018370416,10,1.007369846,0.018814077
42,42,70,0,166,15,20,1.007236838,0.026108278,10,1.005810293,0.026498158
43,43,70,0,166,15,20,1.010571122,0.019704791,10,1.010039537,0.020663432
44,44,70,0,166,15,20,1.007267475,0.025689052,10,1.005807005,0.026374942
45,45,71,0,166,15,20,1.007989407,0.027063286,10,1.007282024,0.027682253
46,46,72,0,166,15,20,1.008533239,0.022026042,10,1.007228876,0.022189578
47,47,73,0,168,15,20,1.008136868,0.020575652,10,1.007415016,0.020465198
48,48,76,0,171,15,20,1.008078456,0.029980814,10,1.006745934,0.03064224
49,49,77,0,173,15,20,1.006008863,0.025368953,10,1.005272876,0.025468027
50,50,79,0,173,15,20,1.008274436,0.026202951,10,1.005979791,0.025222101
51,51,77,0,172,15,20,1.008053064,0.019643907,10,1.007843894,0.02082442
52,52,80,0,173,15,20,1.00894177,0.024013994,10,1.007612948,0.024359067
53,53,80,0,173,15,20,1.008437753,0.024919942,10,1.007169532,0.024891789
54,54,80,0,173,15,20,1.010240912,0.032201119,10,1.008036155,0.031886641
55,55,80,0,173,15,20,1.00905025,0.019916531,10,1.008056562,0.02054894
