,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface
0,42,0,63,20,20,0.0625191256403923,0.02414664998650551,10
1,43,50,66,20,20,0.06953935325145721,0.017350412905216217,10
2,46,50,70,20,20,0.06776800751686096,0.023257380351424217,10
3,47,50,71,20,20,0.06893593072891235,0.024447470903396606,10
4,48,50,71,20,20,0.06518169492483139,0.028197307139635086,10
5,50,50,71,20,20,0.0644853487610817,0.029760951176285744,10
6,50,50,71,20,20,0.06614961475133896,0.02348313294351101,10
7,50,50,72,20,20,0.06354409456253052,0.028569776564836502,10
8,50,50,72,20,20,0.06542030721902847,0.03203100711107254,10
9,50,50,73,20,20,0.0672396570444107,0.024860072880983353,10
10,50,50,73,20,20,0.06270284205675125,0.019287358969449997,10
11,50,50,73,20,20,0.06326620280742645,0.022595388814806938,10
12,52,50,73,20,20,0.0664510726928711,0.02378002740442753,10
13,53,50,72,20,20,0.0666857361793518,0.02852201648056507,10
14,53,50,72,20,20,0.06386644393205643,0.019705751910805702,10
15,54,50,75,20,20,0.06424738466739655,0.025938548147678375,10
16,54,50,76,20,20,0.06641551852226257,0.023303713649511337,10
17,54,50,78,20,20,0.0631028413772583,0.01854957826435566,10
18,56,50,81,20,20,0.06530825048685074,0.03470693901181221,10
19,57,50,85,20,20,0.06323526054620743,0.024268563836812973,10
20,57,50,88,20,20,0.06228264048695564,0.023686112836003304,10
21,59,50,92,20,20,0.06201082840561867,0.023533998057246208,10
22,58,50,92,20,20,0.06381622701883316,0.025476036593317986,10
23,58,50,92,20,20,0.06509323418140411,0.01990325376391411,10
24,60,50,92,20,20,0.06119539961218834,0.02132781594991684,10
25,60,50,92,20,20,0.06192122772336006,0.01823156513273716,10
26,59,50,93,20,20,0.06344802677631378,0.027702197432518005,10
27,60,50,94,20,20,0.06572447717189789,0.024889666587114334,10
28,60,50,95,20,20,0.06427939981222153,0.02337491512298584,10
29,62,50,97,20,20,0.06512932479381561,0.019639942795038223,10
30,62,50,97,20,20,0.06499273329973221,0.021389266476035118,10
31,62,50,99,20,20,0.06644003093242645,0.017016416415572166,10
32,64,50,101,20,20,0.06614581495523453,0.019331669434905052,10
33,64,50,101,20,20,0.06731821596622467,0.024665869772434235,10
34,65,50,101,20,20,0.0668448954820633,0.016775909811258316,10
35,65,50,101,20,20,0.06716407090425491,0.016099849715828896,10
36,68,50,101,20,20,0.06656111031770706,0.01983543671667576,10
37,68,50,100,20,20,0.0648512914776802,0.015494030900299549,10
38,69,50,100,20,20,0.06634936481714249,0.015153272077441216,10
39,70,50,100,20,20,0.06710934638977051,0.020413288846611977,10
40,71,50,100,20,20,0.06632769107818604,0.023415179923176765,10
41,71,50,100,20,20,0.06580892205238342,0.018611442297697067,10
42,70,50,107,20,20,0.06736879795789719,0.02591998688876629,10
43,71,50,107,20,20,0.06830628961324692,0.02257206290960312,10
44,72,50,107,20,20,0.06818658858537674,0.025196213275194168,10
45,73,50,107,20,20,0.067075714468956,0.025475483387708664,10
46,68,50,192,20,20,0.05901650711894035,0.021261857822537422,10
